GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HOTEL,es.deusto.spq.pojo,UserData,102,47,0,0,22,20,7,14,7,14
HOTEL,es.deusto.spq.client,ClientController,299,25,10,0,67,5,11,2,6,2
HOTEL,es.deusto.spq.util,RegistrationWindow,395,0,6,0,80,0,7,0,4,0
HOTEL,es.deusto.spq.util,HotelBrowserWindow.new Runnable() {...},4,0,0,0,2,0,2,0,2,0
HOTEL,es.deusto.spq.util,MainMenuClient,738,0,10,0,134,0,9,0,4,0
HOTEL,es.deusto.spq.util,DonationException,4,0,0,0,2,0,1,0,1,0
HOTEL,es.deusto.spq.util,HotelBrowserWindow.new ActionListener() {...},20,0,0,0,6,0,2,0,2,0
HOTEL,es.deusto.spq.util,HotelBrowserWindow.new ActionListener() {...},12,0,0,0,3,0,2,0,2,0
HOTEL,es.deusto.spq.util,LoginWindow,183,0,2,0,42,0,5,0,4,0
HOTEL,es.deusto.spq.util,HotelBrowserWindow.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
HOTEL,es.deusto.spq.util,LoginWindow.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
HOTEL,es.deusto.spq.util,ReservationWindow.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
HOTEL,es.deusto.spq.util,LoginWindow.new ActionListener() {...},23,0,2,0,5,0,3,0,2,0
HOTEL,es.deusto.spq.util,LoginWindow.new ActionListener() {...},51,0,4,0,13,0,4,0,2,0
HOTEL,es.deusto.spq.util,MainMenuOwner,760,0,12,0,141,0,10,0,4,0
HOTEL,es.deusto.spq.util,ReservationWindow.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
HOTEL,es.deusto.spq.util,ReservationWindow,604,0,0,0,106,0,2,0,2,0
HOTEL,es.deusto.spq.util,HotelBrowserWindow,146,0,0,0,32,0,2,0,2,0
HOTEL,es.deusto.spq.server,Service,0,33,0,0,0,14,0,7,0,7
HOTEL,es.deusto.spq.server,Guest,0,114,2,6,0,25,2,15,0,13
HOTEL,es.deusto.spq.server,Booking,0,72,0,0,0,29,0,15,0,15
HOTEL,es.deusto.spq.server,Room,0,73,0,0,0,30,0,16,0,16
HOTEL,es.deusto.spq.server,Hotel,9,81,0,0,4,30,2,15,2,15
HOTEL,es.deusto.spq.server,Bill,0,65,0,0,0,26,0,13,0,13
HOTEL,es.deusto.spq.server,User,86,67,5,3,19,22,12,10,8,10
HOTEL,es.deusto.spq.server,Resource,174,0,10,0,44,0,9,0,4,0
HOTEL,es.deusto.spq.jdo,Guest,0,114,0,8,0,25,0,17,0,13
HOTEL,es.deusto.spq.jdo,Service,0,33,0,0,0,14,0,7,0,7
HOTEL,es.deusto.spq.jdo,Room,0,67,0,0,0,28,0,15,0,15
HOTEL,es.deusto.spq.jdo,Booking,12,64,0,0,4,26,2,13,2,13
HOTEL,es.deusto.spq.jdo,User,0,74,0,0,0,30,0,15,0,15
HOTEL,es.deusto.spq.jdo,Hotel,9,81,0,0,4,30,2,15,2,15
HOTEL,es.deusto.spq.server.dao,UserDAO,132,0,2,0,24,0,10,0,9,0
HOTEL,es.deusto.spq.server.dao,DataAccessObjectBase,78,0,8,0,24,0,8,0,4,0
HOTEL,es.deusto.spq.server.dao,GuestDAO,94,0,2,0,19,0,9,0,8,0
HOTEL,es.deusto.spq.server.dao,BookingDAO,139,0,12,0,45,0,12,0,6,0
HOTEL,es.deusto.spq.server.dao,HotelDAO,242,0,8,0,65,0,17,0,13,0
